#T(H:M:S)     AZ(D)      ELV(D)   RANGE(NS)       US         H'          A'       Rate[X]
 20:48:38   163.5694     5.0225    16886056.9    16886.06  05:01:21   163:34:10  -0.00000
 20:48:39   163.5668     5.0955    16840401.5    16840.40  05:05:44   163:34:01  -0.00000
 20:48:40   163.5643     5.1688    16794751.5    16794.75  05:10:08   163:33:51  -0.00000
 20:48:41   163.5617     5.2423    16749106.9    16749.11  05:14:32   163:33:42  -0.00000
 20:48:42   163.5590     5.3161    16703467.8    16703.47  05:18:58   163:33:32  -0.00000
 20:48:43   163.5564     5.3902    16657834.4    16657.83  05:23:25   163:33:23  -0.00000
 20:48:44   163.5537     5.4647    16612206.7    16612.21  05:27:53   163:33:13  -0.00000
 20:48:45   163.5510     5.5394    16566584.8    16566.58  05:32:22   163:33:03  -0.00000
 20:48:46   163.5482     5.6143    16520968.9    16520.97  05:36:52   163:32:54  -0.00000
 20:48:47   163.5455     5.6896    16475358.9    16475.36  05:41:23   163:32:44  -0.00000
 20:48:48   163.5427     5.7652    16429755.2    16429.76  05:45:55   163:32:34  -0.00000
 20:48:49   163.5398     5.8411    16384157.6    16384.16  05:50:28   163:32:23  -0.00000
 20:48:50   163.5370     5.9172    16338566.4    16338.57  05:55:02   163:32:13  -0.00000
 20:48:51   163.5341     5.9937    16292981.7    16292.98  05:59:37   163:32:03  -0.00000
 20:48:52   163.5312     6.0704    16247403.5    16247.40  06:04:14   163:31:52  -0.00000
 20:48:53   163.5283     6.1475    16201832.0    16201.83  06:08:51   163:31:42  -0.00000
 20:48:54   163.5253     6.2249    16156267.2    16156.27  06:13:29   163:31:31  -0.00000
 20:48:55   163.5223     6.3025    16110709.4    16110.71  06:18:09   163:31:20  -0.00000
 20:48:56   163.5193     6.3805    16065158.5    16065.16  06:22:50   163:31:10  -0.00000
 20:48:57   163.5163     6.4587    16019614.8    16019.61  06:27:31   163:30:59  -0.00000
 20:48:58   163.5132     6.5373    15974078.3    15974.08  06:32:14   163:30:48  -0.00000
 20:48:59   163.5101     6.6162    15928549.1    15928.55  06:36:58   163:30:36  -0.00000
 20:49:00   163.5070     6.6954    15883027.4    15883.03  06:41:43   163:30:25  -0.00000
 20:49:01   163.5038     6.7749    15837513.2    15837.51  06:46:30   163:30:14  -0.00000
 20:49:02   163.5006     6.8547    15792006.7    15792.01  06:51:17   163:30:02  -0.00000
 20:49:03   163.4974     6.9348    15746508.1    15746.51  06:56:05   163:29:51  -0.00000
 20:49:04   163.4941     7.0153    15701017.4    15701.02  07:00:55   163:29:39  -0.00000
 20:49:05   163.4908     7.0960    15655534.7    15655.53  07:05:46   163:29:27  -0.00000
 20:49:06   163.4875     7.1771    15610060.2    15610.06  07:10:38   163:29:15  -0.00000
 20:49:07   163.4842     7.2585    15564594.0    15564.59  07:15:31   163:29:03  -0.00000
 20:49:08   163.4808     7.3403    15519136.3    15519.14  07:20:25   163:28:51  -0.00000
 20:49:09   163.4774     7.4223    15473687.1    15473.69  07:25:20   163:28:39  -0.00000
 20:49:10   163.4739     7.5047    15428246.6    15428.25  07:30:17   163:28:26  -0.00000
 20:49:11   163.4704     7.5874    15382814.8    15382.81  07:35:15   163:28:14  -0.00000
 20:49:12   163.4669     7.6705    15337392.1    15337.39  07:40:14   163:28:01  -0.00000
 20:49:13   163.4634     7.7539    15291978.4    15291.98  07:45:14   163:27:48  -0.00000
 20:49:14   163.4598     7.8376    15246573.9    15246.57  07:50:15   163:27:35  -0.00000
 20:49:15   163.4561     7.9217    15201178.8    15201.18  07:55:18   163:27:22  -0.00000
 20:49:16   163.4525     8.0061    15155793.1    15155.79  08:00:22   163:27:09  -0.00000
 20:49:17   163.4488     8.0909    15110417.1    15110.42  08:05:27   163:26:56  -0.00000
 20:49:18   163.4451     8.1760    15065050.8    15065.05  08:10:33   163:26:42  -0.00000
 20:49:19   163.4413     8.2614    15019694.5    15019.69  08:15:41   163:26:29  -0.00000
 20:49:20   163.4375     8.3472    14974348.2    14974.35  08:20:50   163:26:15  -0.00000
 20:49:21   163.4336     8.4334    14929012.0    14929.01  08:26:00   163:26:01  -0.00000
 20:49:22   163.4298     8.5199    14883686.2    14883.69  08:31:12   163:25:47  -0.00000
 20:49:23   163.4258     8.6068    14838370.9    14838.37  08:36:24   163:25:33  -0.00000
 20:49:24   163.4219     8.6940    14793066.3    14793.07  08:41:38   163:25:19  -0.00000
 20:49:25   163.4179     8.7816    14747772.4    14747.77  08:46:54   163:25:04  -0.00000
 20:49:26   163.4139     8.8696    14702489.4    14702.49  08:52:11   163:24:50  -0.00000
 20:49:27   163.4098     8.9580    14657217.5    14657.22  08:57:29   163:24:35  -0.00000
 20:49:28   163.4057     9.0467    14611956.9    14611.96  09:02:48   163:24:20  -0.00000
 20:49:29   163.4015     9.1358    14566707.7    14566.71  09:08:09   163:24:05  -0.00000
 20:49:30   163.3973     9.2253    14521470.0    14521.47  09:13:31   163:23:50  -0.00000
 20:49:31   163.3931     9.3152    14476244.1    14476.24  09:18:55   163:23:35  -0.00000
 20:49:32   163.3888     9.4054    14431030.0    14431.03  09:24:20   163:23:20  -0.00000
 20:49:33   163.3845     9.4961    14385828.1    14385.83  09:29:46   163:23:04  -0.00000
 20:49:34   163.3801     9.5871    14340638.3    14340.64  09:35:14   163:22:48  -0.00000
