#T(H:M:S)     AZ(D)      ELV(D)   RANGE(NS)       US         H'          A'       Rate[X]
 19:14:18    95.1192     5.0407    16907271.9    16907.27  05:02:26   095:07:09  -0.00000
 19:14:19    94.9796     5.0836    16880424.3    16880.42  05:05:01   094:58:46  -0.00000
 19:14:20    94.8395     5.1265    16853666.3    16853.67  05:07:36   094:50:22  -0.00000
 19:14:21    94.6989     5.1694    16826998.1    16827.00  05:10:10   094:41:56  -0.00000
 19:14:22    94.5579     5.2122    16800420.4    16800.42  05:12:44   094:33:29  -0.00000
 19:14:23    94.4164     5.2550    16773933.5    16773.93  05:15:18   094:24:59  -0.00000
 19:14:24    94.2744     5.2977    16747537.9    16747.54  05:17:52   094:16:28  -0.00000
 19:14:25    94.1320     5.3404    16721234.1    16721.23  05:20:25   094:07:55  -0.00000
 19:14:26    93.9891     5.3830    16695022.6    16695.02  05:22:59   093:59:21  -0.00000
 19:14:27    93.8457     5.4256    16668903.8    16668.90  05:25:32   093:50:44  -0.00000
 19:14:28    93.7018     5.4681    16642878.1    16642.88  05:28:05   093:42:06  -0.00000
 19:14:29    93.5574     5.5106    16616946.2    16616.95  05:30:38   093:33:27  -0.00000
 19:14:30    93.4126     5.5530    16591108.4    16591.11  05:33:11   093:24:45  -0.00000
 19:14:31    93.2672     5.5953    16565365.2    16565.37  05:35:43   093:16:02  -0.00000
 19:14:32    93.1214     5.6376    16539717.1    16539.72  05:38:15   093:07:17  -0.00000
 19:14:33    92.9751     5.6799    16514164.5    16514.16  05:40:47   092:58:30  -0.00000
 19:14:34    92.8284     5.7220    16488708.0    16488.71  05:43:19   092:49:42  -0.00000
 19:14:35    92.6811     5.7641    16463348.1    16463.35  05:45:51   092:40:52  -0.00000
 19:14:36    92.5334     5.8061    16438085.1    16438.09  05:48:22   092:32:00  -0.00000
 19:14:37    92.3851     5.8481    16412919.6    16412.92  05:50:53   092:23:06  -0.00000
 19:14:38    92.2364     5.8900    16387852.1    16387.85  05:53:24   092:14:11  -0.00000
 19:14:39    92.0872     5.9318    16362883.0    16362.88  05:55:55   092:05:14  -0.00000
 19:14:40    91.9375     5.9736    16338012.9    16338.01  05:58:25   091:56:15  -0.00000
 19:14:41    91.7874     6.0152    16313242.2    16313.24  06:00:55   091:47:15  -0.00000
 19:14:42    91.6367     6.0568    16288571.4    16288.57  06:03:25   091:38:12  -0.00000
 19:14:43    91.4856     6.0983    16264001.0    16264.00  06:05:54   091:29:08  -0.00000
 19:14:44    91.3339     6.1398    16239531.4    16239.53  06:08:23   091:20:02  -0.00000
 19:14:45    91.1818     6.1811    16215163.3    16215.16  06:10:52   091:10:54  -0.00000
 19:14:46    91.0292     6.2224    16190897.0    16190.90  06:13:21   091:01:45  -0.00000
 19:14:47    90.8761     6.2636    16166733.0    16166.73  06:15:49   090:52:34  -0.00000
 19:14:48    90.7225     6.3047    16142671.9    16142.67  06:18:17   090:43:21  -0.00000
 19:14:49    90.5684     6.3457    16118714.2    16118.71  06:20:45   090:34:06  -0.00000
 19:14:50    90.4138     6.3866    16094860.3    16094.86  06:23:12   090:24:50  -0.00000
 19:14:51    90.2587     6.4274    16071110.7    16071.11  06:25:39   090:15:31  -0.00000
 19:14:52    90.1032     6.4682    16047465.9    16047.47  06:28:05   090:06:11  -0.00000
 19:14:53    89.9471     6.5088    16023926.4    16023.93  06:30:32   089:56:50  -0.00000
 19:14:54    89.7906     6.5494    16000492.7    16000.49  06:32:58   089:47:26  -0.00000
 19:14:55    89.6335     6.5898    15977165.4    15977.17  06:35:23   089:38:01  -0.00000
 19:14:56    89.4760     6.6302    15953944.8    15953.94  06:37:49   089:28:34  -0.00000
 19:14:57    89.3180     6.6704    15930831.6    15930.83  06:40:13   089:19:05  -0.00000
 19:14:58    89.1595     6.7105    15907826.2    15907.83  06:42:38   089:09:34  -0.00000
 19:14:59    89.0004     6.7506    15884929.0    15884.93  06:45:02   089:00:02  -0.00000
 19:15:00    88.8409     6.7905    15862140.7    15862.14  06:47:26   088:50:27  -0.00000
 19:15:01    88.6809     6.8303    15839461.6    15839.46  06:49:49   088:40:51  -0.00000
 19:15:02    88.5205     6.8700    15816892.4    15816.89  06:52:12   088:31:14  -0.00000
 19:15:03    88.3595     6.9096    15794433.5    15794.43  06:54:35   088:21:34  -0.00000
 19:15:04    88.1980     6.9491    15772085.3    15772.09  06:56:57   088:11:53  -0.00000
 19:15:05    88.0360     6.9884    15749848.5    15749.85  06:59:18   088:02:10  -0.00000
 19:15:06    87.8736     7.0277    15727723.5    15727.72  07:01:40   087:52:25  -0.00000
 19:15:07    87.7106     7.0668    15705710.8    15705.71  07:04:00   087:42:38  -0.00000
 19:15:08    87.5472     7.1058    15683810.9    15683.81  07:06:21   087:32:50  -0.00000
 19:15:09    87.3832     7.1447    15662024.3    15662.02  07:08:41   087:23:00  -0.00000
 19:15:10    87.2188     7.1834    15640351.5    15640.35  07:11:00   087:13:08  -0.00000
 19:15:11    87.0539     7.2220    15618793.0    15618.79  07:13:19   087:03:14  -0.00000
 19:15:12    86.8885     7.2605    15597349.4    15597.35  07:15:38   086:53:18  -0.00000
 19:15:13    86.7225     7.2989    15576021.1    15576.02  07:17:56   086:43:21  -0.00000
 19:15:14    86.5562     7.3371    15554808.6    15554.81  07:20:14   086:33:22  -0.00000
 19:15:15    86.3893     7.3752    15533712.5    15533.71  07:22:31   086:23:21  -0.00000
 19:15:16    86.2219     7.4132    15512733.2    15512.73  07:24:47   086:13:19  -0.00000
 19:15:17    86.0540     7.4510    15491871.3    15491.87  07:27:04   086:03:14  -0.00000
 19:15:18    85.8857     7.4887    15471127.1    15471.13  07:29:19   085:53:08  -0.00000
 19:15:19    85.7168     7.5262    15450501.4    15450.50  07:31:34   085:43:01  -0.00000
 19:15:20    85.5475     7.5636    15429994.4    15429.99  07:33:49   085:32:51  -0.00000
 19:15:21    85.3777     7.6008    15409606.9    15409.61  07:36:03   085:22:40  -0.00000
 19:15:22    85.2074     7.6379    15389339.1    15389.34  07:38:17   085:12:27  -0.00000
 19:15:23    85.0366     7.6749    15369191.8    15369.19  07:40:30   085:02:12  -0.00000
 19:15:24    84.8653     7.7117    15349165.2    15349.17  07:42:42   084:51:55  -0.00000
 19:15:25    84.6936     7.7483    15329260.1    15329.26  07:44:54   084:41:37  -0.00000
 19:15:26    84.5213     7.7848    15309476.8    15309.48  07:47:05   084:31:17  -0.00000
 19:15:27    84.3486     7.8211    15289815.8    15289.82  07:49:16   084:20:55  -0.00000
 19:15:28    84.1754     7.8573    15270277.7    15270.28  07:51:26   084:10:31  -0.00000
 19:15:29    84.0017     7.8933    15250863.0    15250.86  07:53:36   084:00:06  -0.00000
 19:15:30    83.8275     7.9291    15231572.1    15231.57  07:55:45   083:49:39  -0.00000
 19:15:31    83.6529     7.9648    15212405.6    15212.41  07:57:53   083:39:10  -0.00000
 19:15:32    83.4778     8.0003    15193363.9    15193.36  08:00:01   083:28:40  -0.00000
 19:15:33    83.3022     8.0357    15174447.6    15174.45  08:02:08   083:18:08  -0.00000
 19:15:34    83.1261     8.0708    15155657.1    15155.66  08:04:15   083:07:34  -0.00000
 19:15:35    82.9495     8.1058    15136992.9    15136.99  08:06:21   082:56:58  -0.00000
 19:15:36    82.7725     8.1407    15118455.6    15118.46  08:08:26   082:46:21  -0.00000
 19:15:37    82.5950     8.1753    15100045.6    15100.05  08:10:31   082:35:42  -0.00000
 19:15:38    82.4171     8.2098    15081763.3    15081.76  08:12:35   082:25:01  -0.00000
