#T(H:M:S)     AZ(D)      ELV(D)   RANGE(NS)       US         H'          A'       Rate[X]
 09:44:11    14.7231     5.0077    16979592.8    16979.59  05:00:28   014:43:23  -0.00000
 09:44:12    14.7382     5.0799    16934154.5    16934.15  05:04:48   014:44:17  -0.00000
 09:44:13    14.7533     5.1524    16888721.6    16888.72  05:09:09   014:45:12  -0.00000
 09:44:14    14.7685     5.2251    16843294.3    16843.29  05:13:31   014:46:07  -0.00000
 09:44:15    14.7837     5.2982    16797872.7    16797.87  05:17:53   014:47:01  -0.00000
 09:44:16    14.7991     5.3715    16752456.8    16752.46  05:22:17   014:47:57  -0.00000
 09:44:17    14.8144     5.4451    16707046.8    16707.05  05:26:42   014:48:52  -0.00000
 09:44:18    14.8299     5.5190    16661642.7    16661.64  05:31:08   014:49:48  -0.00000
 09:44:19    14.8454     5.5932    16616244.8    16616.24  05:35:35   014:50:44  -0.00000
 09:44:20    14.8610     5.6676    16570852.9    16570.85  05:40:03   014:51:40  -0.00000
 09:44:21    14.8767     5.7424    16525467.4    16525.47  05:44:33   014:52:36  -0.00000
 09:44:22    14.8924     5.8174    16480088.3    16480.09  05:49:03   014:53:33  -0.00000
 09:44:23    14.9082     5.8927    16434715.6    16434.72  05:53:34   014:54:29  -0.00000
 09:44:24    14.9240     5.9683    16389349.5    16389.35  05:58:06   014:55:26  -0.00000
 09:44:25    14.9399     6.0442    16343990.2    16343.99  06:02:39   014:56:24  -0.00000
 09:44:26    14.9559     6.1204    16298637.6    16298.64  06:07:13   014:57:21  -0.00000
 09:44:27    14.9720     6.1969    16253292.0    16253.29  06:11:49   014:58:19  -0.00000
 09:44:28    14.9881     6.2737    16207953.4    16207.95  06:16:25   014:59:17  -0.00000
 09:44:29    15.0043     6.3507    16162622.0    16162.62  06:21:03   015:00:16  -0.00000
 09:44:30    15.0206     6.4281    16117297.8    16117.30  06:25:41   015:01:14  -0.00000
 09:44:31    15.0370     6.5058    16071981.0    16071.98  06:30:21   015:02:13  -0.00000
