#T(H:M:S)     AZ(D)      ELV(D)   RANGE(NS)       US         H'          A'       Rate[X]
 11:22:45   343.7243     5.0270    16968287.7    16968.29  05:01:37   343:43:28  -0.00000
 11:22:46   343.6002     5.0772    16936722.3    16936.72  05:04:38   343:36:01  -0.00000
 11:22:47   343.4756     5.1274    16905230.4    16905.23  05:07:39   343:28:32  -0.00000
 11:22:48   343.3505     5.1776    16873812.3    16873.81  05:10:39   343:21:02  -0.00000
 11:22:49   343.2249     5.2278    16842468.7    16842.47  05:13:40   343:13:30  -0.00000
 11:22:50   343.0988     5.2781    16811199.8    16811.20  05:16:41   343:05:56  -0.00000
 11:22:51   342.9722     5.3283    16780006.2    16780.01  05:19:42   342:58:20  -0.00000
 11:22:52   342.8451     5.3786    16748888.3    16748.89  05:22:43   342:50:42  -0.00000
 11:22:53   342.7174     5.4289    16717846.6    16717.85  05:25:44   342:43:03  -0.00000
 11:22:54   342.5893     5.4792    16686881.5    16686.88  05:28:45   342:35:21  -0.00000
 11:22:55   342.4606     5.5295    16655993.5    16655.99  05:31:46   342:27:38  -0.00000
 11:22:56   342.3315     5.5798    16625183.1    16625.18  05:34:47   342:19:53  -0.00000
 11:22:57   342.2018     5.6301    16594450.6    16594.45  05:37:48   342:12:06  -0.00000
 11:22:58   342.0716     5.6805    16563796.7    16563.80  05:40:50   342:04:18  -0.00000
 11:22:59   341.9408     5.7308    16533221.8    16533.22  05:43:51   341:56:27  -0.00000
 11:23:00   341.8096     5.7811    16502726.2    16502.73  05:46:52   341:48:35  -0.00000
 11:23:01   341.6778     5.8315    16472310.6    16472.31  05:49:53   341:40:40  -0.00000
 11:23:02   341.5455     5.8818    16441975.4    16441.98  05:52:55   341:32:44  -0.00000
 11:23:03   341.4127     5.9321    16411721.0    16411.72  05:55:56   341:24:46  -0.00000
 11:23:04   341.2793     5.9825    16381548.0    16381.55  05:58:57   341:16:46  -0.00000
 11:23:05   341.1455     6.0328    16351456.8    16351.46  06:01:58   341:08:44  -0.00000
 11:23:06   341.0110     6.0831    16321447.9    16321.45  06:04:59   341:00:40  -0.00000
 11:23:07   340.8761     6.1335    16291521.9    16291.52  06:08:00   340:52:34  -0.00000
 11:23:08   340.7406     6.1838    16261679.1    16261.68  06:11:02   340:44:26  -0.00000
 11:23:09   340.6046     6.2341    16231920.1    16231.92  06:14:03   340:36:16  -0.00000
 11:23:10   340.4680     6.2844    16202245.4    16202.25  06:17:04   340:28:05  -0.00000
 11:23:11   340.3309     6.3346    16172655.5    16172.66  06:20:05   340:19:51  -0.00000
 11:23:12   340.1932     6.3849    16143150.9    16143.15  06:23:06   340:11:36  -0.00000
 11:23:13   340.0550     6.4352    16113732.0    16113.73  06:26:07   340:03:18  -0.00000
 11:23:14   339.9163     6.4854    16084399.4    16084.40  06:29:07   339:54:59  -0.00000
 11:23:15   339.7770     6.5356    16055153.6    16055.15  06:32:08   339:46:37  -0.00000
 11:23:16   339.6371     6.5858    16025995.1    16026.00  06:35:09   339:38:14  -0.00000
